,sentences,tag,start,end
1,Students are mostly beneficial candidates of paragraphs as they look out for relevant information while crafting essays.,ROOT,candidates,for
2,A sequence of sentences representing an idea or explaining a topic in the most organized fashion is called a paragraph.,ROOT,sentences,the
3,"While writing paragraphs, it is essential to care for the target audience.",ROOT,paragraphs,audience
3,"While writing paragraphs, it is essential to care for the target audience.",ROOT,the,audience
,,ROOT,audience,paragraphs
4,All matter relevant to the topic has to be clearly explained in a section in a proper flow.,ROOT,topic,in
,,NSUBJ,section,proper
,,NSUBJ,All,relevant
4,All matter relevant to the topic has to be clearly explained in a section in a proper flow.,ROOT,relevant,a
,,NSUBJ,explained,in
,,NSUBJ,All,topic
5,Paragraph writing concerns to a single issue at a time.,NSUBJ,single,at
