text,aspectCategory,polarity,tokens
But the staff was so horrible to us.,service,negative,"['But', 'the', 'staff', 'was', 'so', 'horrible', 'to', 'us.']"
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,positive,"['To', 'be', 'completely', 'fair,', 'the', 'only', 'redeeming', 'factor', 'was', 'the', 'food,', 'which', 'was', 'above', 'average,', 'but', ""couldn't"", 'make', 'up', 'for', 'all', 'the', 'other', 'deficiencies', 'of', 'Teodora.']"
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",anecdotes/miscellaneous,negative,"['To', 'be', 'completely', 'fair,', 'the', 'only', 'redeeming', 'factor', 'was', 'the', 'food,', 'which', 'was', 'above', 'average,', 'but', ""couldn't"", 'make', 'up', 'for', 'all', 'the', 'other', 'deficiencies', 'of', 'Teodora.']"
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive,"['The', 'food', 'is', 'uniformly', 'exceptional,', 'with', 'a', 'very', 'capable', 'kitchen', 'which', 'will', 'proudly', 'whip', 'up', 'whatever', 'you', 'feel', 'like', 'eating,', 'whether', ""it's"", 'on', 'the', 'menu', 'or', 'not.']"
Where Gabriela personaly greets you and recommends you what to eat.,service,positive,"['Where', 'Gabriela', 'personaly', 'greets', 'you', 'and', 'recommends', 'you', 'what', 'to', 'eat.']"
"For those that go once and don't enjoy it, all I can say is that they just don't get it.",anecdotes/miscellaneous,positive,"['For', 'those', 'that', 'go', 'once', 'and', ""don't"", 'enjoy', 'it,', 'all', 'I', 'can', 'say', 'is', 'that', 'they', 'just', ""don't"", 'get', 'it.']"
"Not only was the food outstanding, but the little 'perks' were great.",food,positive,"['Not', 'only', 'was', 'the', 'food', 'outstanding,', 'but', 'the', 'little', ""'perks'"", 'were', 'great.']"
"Not only was the food outstanding, but the little 'perks' were great.",service,positive,"['Not', 'only', 'was', 'the', 'food', 'outstanding,', 'but', 'the', 'little', ""'perks'"", 'were', 'great.']"
It is very overpriced and not very tasty.,food,negative,"['It', 'is', 'very', 'overpriced', 'and', 'not', 'very', 'tasty.']"
It is very overpriced and not very tasty.,price,negative,"['It', 'is', 'very', 'overpriced', 'and', 'not', 'very', 'tasty.']"
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,food,positive,"['Our', 'agreed', 'favorite', 'is', 'the', 'orrechiete', 'with', 'sausage', 'and', 'chicken', '(usually', 'the', 'waiters', 'are', 'kind', 'enough', 'to', 'split', 'the', 'dish', 'in', 'half', 'so', 'you', 'get', 'to', 'sample', 'both', 'meats).']"
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,service,positive,"['Our', 'agreed', 'favorite', 'is', 'the', 'orrechiete', 'with', 'sausage', 'and', 'chicken', '(usually', 'the', 'waiters', 'are', 'kind', 'enough', 'to', 'split', 'the', 'dish', 'in', 'half', 'so', 'you', 'get', 'to', 'sample', 'both', 'meats).']"
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",food,positive,"['The', 'Bagels', 'have', 'an', 'outstanding', 'taste', 'with', 'a', 'terrific', 'texture,', 'both', 'chewy', 'yet', 'not', 'gummy.']"
Nevertheless the food itself is pretty good.,food,positive,"['Nevertheless', 'the', 'food', 'itself', 'is', 'pretty', 'good.']"
"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.",ambience,neutral,"[""i've"", 'noticed', 'megadeth,', 'mr.', 'scruff,', 'st.', 'germain,', 'traditional', 'vietnamese', 'songs,', 'black', 'sabbath,', 'jay-z,', 'and', 'daft', 'punk', 'all', 'being', 'played.']"
