ID,Sentence1,Sentence2,Class
0,"But instead of returning to heaven , Annie decided to join Chris in hell forever .","But instead of returning to Heaven , Chris chooses to join Annie forever in Hell .",0
1,"In 2016 , Bacardi announced new branding and plans to sell their version of Havana Club nationally , which will be burned in Florida and bottled in Puerto Rico .","In 2016 , Bacardi announced new branding and plans to sell their version of Havana Club nationally , which will be distilled in Puerto Rico and bottled in Florida .",0
2,"Kweku Baako Jnr had four children . One of them , Baako is a journalist and editor of the `` New Crusading Guide '' newspaper .","Baako had four children , one of whom was Kweku Baako Jnr , a journalist and editor of the newspaper `` New Crusading Guide '' .",0
3,"As with the Navy , the Army has a single-track system , where officers from other Navy communities transfer over to Foreign Area Officer permanently .","Like the army , the Navy has a single-track system , where officers from other Navy communities permanently transfer to Foreign Area Officer .",0
4,Sissi units have fewer crew served weapons and more sniper rifles than regular infantry .,Sissi units have more weapons served by the crew and fewer sniper rifles than regular infantry .,0
5,"However , the United States later forced other nations and American companies to restrict trade with Cuba with foreign subsidiaries .","However , the United States later pressured other nations and foreign companies with American subsidiaries to restrict trade with Cuba .",0
6,Deutsche Bahn opened a new underground tunnel to the new railway station Filderstadt on 29 September 2001 .,"On 29 September 2001 , Deutsche Bahn opened a new tunnel to the new Filderstadt U-Bahn ( underground ) station .",0
7,"Some Hebrew and Aramaic abbreviations may not be included here ; more may be found in the List of Hebrew abbreviations and the List of Aramaic abbreviations , respectively .","Some Hebrew and Aramaic abbreviations may not be included here , and others may be found in the list of Hebrew abbreviations or in the list of Aramaic abbreviations .",1
8,`` Yesteryear '' is the first episode of the second season of animated American science - fiction - television series .,`` Yesteryear '' is the second episode of the first season of the animated American Science - Fiction - TV series .,0
9,Principal photography took place in additional installments between July 2016 and October 2016 with small pick-up days in December 2016 and January 2017 .,Principal - Photography took place between July 2016 and October 2016 in small installments with additional collection dates in December 2016 and January 2017 .,0
10,It connects Kumarakom and Cochin to the north and Quilon in the south .,It connects Kumarakom and Cochin to the North and Quilon to the South .,1
11,"What's more, Mr. O'Neill said that he hoped Hyundai would sell one million vehicles annually in the United States by 2010.","That wasn't all: by 2010, Mr. O'Neill said, he hoped Hyundai would sell 1 million vehicles annually in the United States.
",1
12,The River Timiş is a tributary of the River Zlagna in Romania .,Zlagna River is a tributary of the River Timiş in Romania .,0
13,"Since then, police divers have searched nearby parts of Long Island Sound looking for the remaining three.","Since then, police divers have searched those waters looking for the remaining three.
",1
14,"Why is the Navy and Air Force of the United Kingdom ""Royal"" and the Army is not?","What is the historical reason the British navy, air force and marines ""Royal,"" but not the army? When did the navy become ""royal"" or the army stop?",1
15,The series was the Rowohlt publishing house published a novel by Patrick Niessen .,The published series of the Rowohlt publishing house was a novel by Patrick Niessen .,0
16,A barometer and a built-in scale are shown in this room .,In this room are presented a barometer and a built-in scale .,1
17,Some of the municipal water supply infrastructure which provides water to bulk and state water companies is owned directly by HIDROVEN and its affiliated regional companies .,"Part of the municipal water supply infrastructure , which provides water to large companies and state water suppliers , is directly owned by HIDROVEN and its affiliated regional companies .",1
18,"The Communist Party of Pakistan was registered under Article 17 of the Constitution of Pakistan in 1973 , as reported vide .","The Communist Party of Pakistan was registered under the Article 17 of the Constitution of Pakistan , 1973 as reported vide",1
19,"Rose Tattoo is a 2011 album by Tiffany , her eighth regular album and first full country record .","Rose Tattoo is a 2011 album by Tiffany , her eighth regular album and her first full country record .",1
20,Later they moved to Dhaka and lived there for a couple of years until they moved to Khulna .,Later they moved to Dhaka and lived there for couple of years until they moved to Khulna .,1
21,Belson as Visual Director programmed live kinetic visuals and Jacobs programmed electronic music and audio experiments .,"Belson as audio director programmed kinetic live visuals , and Jacobs programmed electronic music and visual experiments .",0
22,"These dioceses had indirect election of three members , direct election of four members :","These dioceses had an indirect election of three members , a direct election of four members :",1
23,Prosecutors said the investment was a breach of duty and resulted in the pension fund immediately losing $1 million.,"The indictment says the investment was a breach of fiduciary duties and resulted in the state pension fund immediately losing $1 million.
",1
24,The Repedea River is a tributary of the Groșetu River in Romania .,The Repedea River is a tributary of the River Grojetu in Romania .,1
25,"Peter Mortimer , his elder brother Steve Mortimer and his younger brother , Chris Mortimer , played together in four grand finals .","Chris Mortimer , his older brother Peter Mortimer and younger brother Steve Mortimer played in four Grand Finals together .",0
26,"Robert Edward Turner 's son , Ted Turner , inherited the company when the elder Turner died in 1963 .","The son of Robert Edward Turner , Ted Turner , inherited the company when the elder Turner died in 1963 .",1
27,"Despite the advantages of mini effects , FAB effects are more fragile : the mini effects are less common , but the plastic construction makes them expensive .","Despite the advantages of mini effects , FAB effects are more common : the mini-effects are less expensive , but the plastic construction makes them fragile .",0
28,"The house was bought in 1858 by Sir George Dewhurst of Dunira , who sold it to David Dundas of Lymm , Cheshire in 1864 .","The house was purchased in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst from Lymm , Cheshire in 1864 .",0
29,"Billboard wrote about the song : `` You know the beat , now catch the groove .","About the song Billboard wrote : `` You catch the beat , now you know the groove .",0
30,The head of the college is Danny Hubball and the assistant is Steve Marshall .,The head of the college is Danny Hubball and the assistant head is Steve Marshall .,1
31,"It can be a single object , a group of objects , a specific environment , the entire system , etc .","It can be a single object , a group of objects , a specific environment , the whole system , etc .",1
32,What is difference between a bushing and a bearing?,What is difference between bush and bearing?,1
33,What is the best gift you ever received?,What is the best gift you are ever received?,1
